Date,ActualCases,Predicts
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,3
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,0,1
2020-02-23,0,0
2020-02-24,2,0
2020-02-25,0,0
2020-02-26,15,5
2020-02-27,0,1
2020-02-28,1,2
2020-02-29,1,1
2020-03-01,5,4
2020-03-02,5,3
2020-03-03,7,4
2020-03-04,10,1
2020-03-05,12,9
2020-03-06,14,11
2020-03-07,19,12
2020-03-08,12,17
2020-03-09,60,31
2020-03-10,7,43
2020-03-11,23,35
2020-03-12,50,23
2020-03-13,68,44
2020-03-14,61,58
2020-03-15,97,66
2020-03-16,110,109
2020-03-17,144,156
2020-03-18,161,181
2020-03-19,174,181
2020-03-20,216,228
2020-03-21,261,269
2020-03-22,307,354
2020-03-23,389,383
2020-03-24,404,445
2020-03-25,539,587
2020-03-26,877,1089
2020-03-27,855,974
2020-03-28,651,846
2020-03-29,755,801
2020-03-30,1100,1128
2020-03-31,1162,1226
2020-04-01,1274,1207
2020-04-02,1333,1329
2020-04-03,1379,1529
2020-04-04,1227,1487
2020-04-05,1406,1630
2020-04-06,1159,1185
2020-04-07,1179,1235
2020-04-08,1503,1640
2020-04-09,1148,1271
2020-04-10,1175,1235
2020-04-11,1055,983
2020-04-12,902,1052
2020-04-13,1011,1095
2020-04-14,1424,1314
2020-04-15,1349,1300
2020-04-16,1035,1378
2020-04-17,1256,1007
2020-04-18,1431,1366
2020-04-19,715,1138
2020-04-20,2318,1253
2020-04-21,1982,1582
2020-04-22,1729,2562
2020-04-23,1961,2018
2020-04-24,1834,1557
2020-04-25,1222,1857
2020-04-26,1101,1720
2020-04-27,1517,1336
2020-04-28,1362,1554
2020-04-29,2334,1934
2020-04-30,1566,1375
2020-05-01,1848,2084
2020-05-02,1435,1320
2020-05-03,1319,1832
2020-05-04,1261,2005
2020-05-05,2515,1775
2020-05-06,1939,1751
2020-05-07,1694,2072
2020-05-08,2135,1758
2020-05-09,2208,1104
2020-05-10,1227,2514
2020-05-11,1463,1832
2020-05-12,1636,1909
2020-05-13,2068,1624
2020-05-14,1729,2281
2020-05-15,2068,1464
2020-05-16,1918,1565
2020-05-17,1433,1830
2020-05-18,1577,2048
2020-05-19,2038,2318
2020-05-20,2144,1832
2020-05-21,2363,1925
2020-05-22,2313,2425
2020-05-23,2014,1650
2020-05-24,1928,1804
2020-05-25,2274,2338
2020-05-26,2907,2848
2020-05-27,1949,2206
2020-05-28,2198,2625
2020-05-29,2972,2480
2020-05-30,3057,2284
2020-05-31,3014,2927
2020-06-01,2529,3045
2020-06-02,2438,2709
2020-06-03,2326,2832
2020-06-04,2510,2826
2020-06-05,3593,2620
2020-06-06,2637,2631
2020-06-07,2850,2779
2020-06-08,2290,2965
2020-06-09,2958,2993
2020-06-10,2894,2567
2020-06-11,3570,3262
2020-06-12,3576,3452
2020-06-13,3149,3197
2020-06-14,2519,2990
2020-06-15,2709,3022
2020-06-16,3469,3152
2020-06-17,4250,3458
2020-06-18,3754,4103
2020-06-19,3708,3552
2020-06-20,4011,3338
2020-06-21,3953,3832
2020-06-22,5813,5003
2020-06-23,6419,5855
2020-06-24,4850,5275
2020-06-25,5524,5503
2020-06-26,5614,5605
2020-06-27,4426,4829
2020-06-28,5502,5607
