Date,ActualCases,Predicts
2021-01-01,37957,47507
2021-01-02,52197,37046
2021-01-03,35915,39694
2021-01-04,40723,37761
2021-01-05,37261,49563
2021-01-06,36672,41055
2021-01-07,40397,40444
2021-01-08,50923,39366
2021-01-09,47271,44663
2021-01-10,42440,46658
2021-01-11,40540,42889
2021-01-12,45868,45938
2021-01-13,41654,41164
2021-01-14,40684,42442
2021-01-15,39105,60233
2021-01-16,37590,44201
2021-01-17,31617,41196
2021-01-18,25424,36633
2021-01-19,39112,32037
2021-01-20,19220,35729
2021-01-21,25572,24474
2021-01-22,25017,29231
2021-01-23,23004,24404
2021-01-24,21680,14871
2021-01-25,26876,32543
2021-01-26,21600,22276
2021-01-27,18628,22491
2021-01-28,19633,17816
2021-01-29,19735,17470
2021-02-01,17584,18505
2021-02-02,12842,13545
2021-02-03,12558,13514
2021-02-04,14681,11871
2021-02-05,14017,10996
2021-02-06,11595,14256
2021-02-07,10209,13772
2021-02-08,13586,12312
2021-02-09,10492,10354
2021-02-10,8597,9082
2021-02-11,10546,10374
2021-02-12,9533,6871
2021-02-13,9176,7488
2021-02-14,5955,8742
2021-02-15,5012,5915
2021-02-16,8764,3507
2021-02-17,6272,595
2021-02-18,7849,6772
2021-02-19,7880,2750
2021-02-20,6067,3861
2021-02-21,4646,5090
2021-02-22,4972,3723
2021-02-23,6260,-436
2021-02-24,5853,10873
2021-02-25,5636,4161
2021-02-26,6891,4500
2021-02-27,4410,3887
2021-02-27,4410,4186
2021-02-28,3495,1031
2021-03-01,4190,2833
