Date,ActualCases,Predicts
2020-10-01,3181,3210
2020-10-02,4058,3446
2020-10-03,3130,2259
2020-10-04,3141,4089
2020-10-05,3085,2853
2020-10-06,2602,1850
2020-10-07,3410,3543
2020-10-08,3652,4414
2020-10-09,3844,2854
2020-10-10,3074,2447
2020-10-11,2774,3431
2020-10-12,2883,2474
2020-10-13,3655,3307
2020-10-14,3480,3613
2020-10-15,3286,4068
2020-10-16,3721,2877
2020-10-17,2156,2318
2020-10-18,2137,2276
2020-10-19,4271,2628
2020-10-20,4428,4350
2020-10-21,3060,3494
2020-10-22,6271,5726
2020-10-23,5901,4766
2020-10-24,4319,4525
2020-10-25,2700,3616
2020-10-26,4355,4687
2020-10-27,4928,4629
2020-10-28,4053,6059
2020-10-29,4213,4544
2020-10-30,4933,3646
2020-10-31,3422,3256
