Date,ActualCases,Predicts
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,3,1
2020-03-02,2,2
2020-03-03,2,2
2020-03-04,3,2
2020-03-05,6,5
2020-03-06,4,4
2020-03-07,8,5
2020-03-08,5,8
2020-03-09,6,8
2020-03-10,2,5
2020-03-11,3,1
2020-03-12,18,7
2020-03-13,13,10
2020-03-14,12,12
2020-03-15,23,16
2020-03-16,24,24
2020-03-17,17,22
2020-03-18,20,22
2020-03-19,14,15
2020-03-20,7,17
2020-03-21,67,26
2020-03-22,40,24
2020-03-23,18,35
2020-03-24,54,31
2020-03-25,84,48
2020-03-26,83,83
2020-03-27,32,50
2020-03-28,17,40
2020-03-29,55,68
2020-03-30,202,115
2020-03-31,42,50
2020-04-01,66,39
2020-04-02,63,53
2020-04-03,75,207
2020-04-04,54,95
2020-04-05,59,66
2020-04-06,17,58
2020-04-07,61,88
2020-04-08,95,109
2020-04-09,62,38
2020-04-10,42,27
2020-04-11,82,56
2020-04-12,55,108
2020-04-13,45,76
2020-04-14,0,34
2020-04-15,127,49
2020-04-16,40,59
2020-04-17,37,58
2020-04-18,0,47
2020-04-19,0,36
2020-04-20,52,33
2020-04-21,24,57
2020-04-22,16,40
2020-04-23,25,11
2020-04-24,31,19
2020-04-25,22,23
2020-04-26,44,40
2020-04-27,21,-9
2020-04-28,17,45
2020-04-29,12,13
2020-04-30,29,4
2020-05-01,16,8
2020-05-02,25,1
2020-05-03,27,6
2020-05-04,13,33
2020-05-05,11,23
2020-05-06,13,5
2020-05-07,13,9
2020-05-08,9,10
2020-05-09,17,17
2020-05-10,32,38
2020-05-11,2,-13
2020-05-12,23,12
2020-05-13,0,13
2020-05-14,27,16
2020-05-15,12,1
2020-05-16,15,4
2020-05-17,35,4
2020-05-18,0,13
2020-05-19,30,40
2020-05-20,9,16
2020-05-21,16,0
2020-05-22,38,20
2020-05-23,25,32
2020-05-24,46,46
2020-05-25,35,20
2020-05-26,23,31
2020-05-27,13,21
2020-05-28,13,30
2020-05-29,6,25
2020-05-30,24,8
2020-05-31,45,16
2020-06-01,29,22
2020-06-02,14,33
2020-06-03,13,39
2020-06-04,18,15
2020-06-05,42,18
2020-06-06,28,36
2020-06-07,22,43
2020-06-08,31,18
2020-06-09,44,36
2020-06-10,15,21
2020-06-11,31,15
2020-06-12,54,36
2020-06-13,40,42
2020-06-14,40,27
2020-06-15,33,38
2020-06-16,24,35
2020-06-17,34,42
2020-06-18,75,52
2020-06-19,35,41
2020-06-20,60,51
2020-06-21,89,67
2020-06-22,59,57
