Date,ActualCases,Predicts
2020-10-01,46418,42069
2020-10-02,53580,48503
2020-10-03,47779,39046
2020-10-04,35063,43834
2020-10-05,62412,49257
2020-10-06,42862,49034
2020-10-07,53017,55011
2020-10-08,56383,65455
2020-10-09,58962,52530
2020-10-10,51648,48505
2020-10-11,44783,45249
2020-10-12,48016,51630
2020-10-13,54394,54750
2020-10-14,59853,62172
2020-10-15,65353,69760
2020-10-16,70463,63429
2020-10-17,52761,46093
2020-10-18,47882,67265
2020-10-19,65440,54862
2020-10-20,60594,70805
2020-10-21,64237,65913
2020-10-22,75128,75506
2020-10-23,85131,70166
2020-10-24,78698,71265
2020-10-25,59712,66266
2020-10-26,74497,77489
2020-10-27,74397,81158
2020-10-28,81924,86903
2020-10-29,90794,96872
2020-10-30,99814,84112
2020-10-31,84235,74393

