Date,ActualCases,Predicts
2021-03-02,,51881
2021-03-03,,87604
2021-03-04,,73518
2021-03-05,,83210
2021-03-06,,62132
2021-03-07,,43161
2021-03-08,,64089
2021-03-09,,67374
2021-03-10,,75022
2021-03-11,,82766
2021-03-12,,72975
2021-03-13,,65844
2021-03-14,,35279
2021-03-15,,45643
2021-03-16,,59115
2021-03-17,,54065
2021-03-18,,54018
2021-03-19,,49816
2021-03-20,,42926
2021-03-21,,14461
2021-03-22,,31171
2021-03-23,,39900
2021-03-24,,40365
2021-03-25,,27440
2021-03-26,,35268
2021-03-27,,30232
2021-03-28,,2298
