Date,ActualCases,Predicts
2020-10-01,46418,46313
2020-10-02,53580,49152
2020-10-03,47779,39234
2020-10-04,35063,45219
2020-10-05,62412,49959
2020-10-06,42862,49764
2020-11-01,74195,99514
2020-11-02,94013,83900
2020-11-03,92416,96493
2020-11-04,108080,109458
2020-11-05,121333,122804
2020-11-06,132823,120438
2020-11-07,125932,113314
2020-11-08,103416,114968
2020-11-09,130441,133503
2020-11-10,139750,138714
2020-11-11,142885,155995
2020-11-12,163640,177690
2020-11-13,181497,169261
2020-11-14,159033,152191
2020-11-15,135187,165665
2020-11-16,166560,158113
2020-11-17,161639,173905
2020-11-18,172283,185698
2020-11-19,187515,198994
2020-11-20,198881,191593
2020-11-21,171945,161663
2020-11-22,140838,166718
2020-11-23,179733,178737
2020-11-24,177903,182284
2020-11-25,180672,195491
2020-11-26,102893,155887
2020-11-27,205886,150581
2020-11-28,151146,145745
2020-11-29,136372,145887
2020-11-30,167839,153882
2020-12-01,184260,166973
2020-12-02,201211,195288
2020-12-03,217763,228632
2020-12-04,231387,212848
2020-12-05,205673,175543
2020-12-06,172108,216214
2020-12-07,204292,204566
2020-12-08,219881,222198
2020-12-09,219736,184745
2020-12-10,225221,252405
2020-12-11,280567,242203
2020-12-12,207429,208840
2020-12-13,184224,230298
2020-12-14,201124,216152
2020-12-15,202971,218281
2020-12-16,245042,206881
2020-12-17,238427,264063
2020-12-18,251223,232316
2021-01-01,147260,200133
2021-01-02,291382,188316
2021-01-03,201967,215953
2021-01-04,251962,244369
2021-01-05,235027,267674
2021-01-06,255760,231233
2021-01-07,280278,192579
2021-01-08,300619,283400
2021-01-09,252129,259387
2021-01-10,208336,251613
2021-01-11,222944,251995
2021-01-12,229695,256616
2021-01-13,229318,248591
2021-01-14,238599,235942
2021-01-15,240935,274718
2021-01-16,201659,204110
2021-01-17,169622,207558
2021-01-18,142647,190318
2021-01-19,185070,188689
2021-01-20,186916,188875
2021-01-21,190134,199289
2021-01-22,191742,184170
2021-01-23,167943,107502
2021-01-24,129522,162574
2021-01-25,155705,164399
2021-01-26,151617,176730
2021-01-27,155639,166437
2021-01-28,165250,182407
2021-01-29,165664,155867
2021-01-30,133905,102629
2021-01-31,113511,149132
2021-02-01,139851,156721
2021-02-02,117903,137724
2021-02-03,120039,121294
2021-02-04,125837,131227
2021-02-05,129574,130914
2021-02-06,105025,86547
2021-02-07,87329,101972
2021-02-08,92780,103208
2021-02-09,96480,99822
2021-02-10,94917,116363
2021-02-11,105599,88598
2021-02-12,99558,91503
2021-02-13,84727,66272
2021-02-14,63850,68874
2021-02-15,55372,63519
2021-02-16,64376,51695
2021-02-17,70176,59936
2021-02-18,71874,81954
2021-02-19,78018,41645
