Date,ActualCases,Predicts
2020-10-01,46418,48801
2020-10-02,53580,48572
2020-10-03,47779,37132
2020-10-04,35063,45392
2020-10-05,62412,47822
2020-10-06,42862,46243
2020-10-07,53017,57321
2020-10-08,56383,64131
2020-10-09,58962,52018
2020-10-10,51648,47907
2020-10-11,44783,43871
2020-10-12,48016,53571
2020-10-13,54394,51595
2020-10-14,59853,63004
2020-10-15,65353,70376
2020-10-16,70463,62908
2020-10-17,52761,47263
2020-10-18,47882,68615
2020-10-19,65440,52107
2020-10-20,60594,66060
2020-10-21,64237,65242
2020-10-22,75128,78966
2020-10-23,85131,73125
2020-10-24,78698,71364
2020-10-25,59712,68499
2020-10-26,74497,74216
2020-10-27,74397,79363
2020-10-28,81924,87213
2020-10-29,90794,96822
2020-10-30,99814,85898
2020-10-31,84235,77047
